Timestamp,CPU_Percent,RAM_Active_MB,Temp_C
1780992519,25,576,61.3
1780992520,20,580,61.8
1780992521,20,579,61.8
1780992522,25,579,61.8
1780992523,25,579,60.8
1780992525,27.3,579,60.8
1780992526,25,578,60.8
1780992527,27.3,577,60.8
1780992528,20,577,60.8
1780992530,20,575,59.9
1780992531,20,575,61.8
1780992532,20,575,61.3
1780992533,42.9,575,60.3
1780992534,33.3,575,60.8
1780992536,33.3,576,60.8
1780992537,22.2,576,61.8
1780992538,25,576,60.3
1780992540,54.5,575,61.3
1780992541,20,575,61.3
1780992542,0,576,62.3
1780992543,33.3,576,61.3
1780992544,20,576,61.3
1780992546,27.3,577,59.9
1780992547,25,577,60.8
1780992548,27.3,577,61.8
1780992549,20,578,61.3
1780992551,20,580,61.3
1780992552,20,580,61.3
1780992553,20,580,62.3
1780992554,40,580,60.8
1780992555,36.4,581,61.3
1780992557,33.3,581,61.8
1780992558,27.3,581,60.8
1780992559,27.3,580,61.3
1780992560,28.6,572,60.8
1780992562,33.3,575,60.8
1780992563,0,575,60.8
1780992564,20,575,60.8
1780992565,27.3,575,60.3
1780992566,30.8,575,60.8
1780992568,27.3,576,59.9
1780992569,30.8,576,60.8
1780992570,40,579,61.3
1780992571,25,579,61.8
1780992573,33.3,579,61.3
1780992574,33.3,580,61.8
1780992575,20,581,60.8
1780992576,33.3,580,61.3
1780992578,20,580,60.8
1780992579,23.1,580,59.9
1780992580,60,584,60.8
1780992581,20,589,62.3
1780992582,33.3,589,61.3
1780992584,20,588,61.8
1780992585,22.2,587,60.3
1780992586,18.2,586,61.3
1780992587,27.3,585,60.8
1780992589,25,585,60.3
1780992590,27.3,584,60.8
1780992591,20,575,60.8
1780992592,33.3,575,61.3
1780992594,60,578,60.8
1780992595,20,584,61.8
1780992596,53.8,584,61.3
1780992597,33.3,586,62.8
1780992598,60,589,61.8
1780992600,50,584,63.3
1780992601,50,583,62.8
1780992602,42.9,595,64.2
1780992603,60,593,63.3
1780992604,71.4,598,64.2
1780992606,57.1,599,64.7
1780992607,63.6,700,65.2
1780992608,60,712,65.2
1780992609,55.6,714,66.7
1780992611,50,734,66.7
1780992612,80,732,67.6
1780992613,57.1,732,67.6
1780992614,40,732,66.2
1780992616,50,645,67.2
1780992617,33.3,646,66.2
1780992618,33.3,646,66.2
1780992619,25,645,65.2
1780992620,20,646,63.7
1780992622,83.3,646,64.7
1780992624,20,636,64.2
1780992625,16.7,635,64.2
1780992627,20,638,64.2
1780992628,33.3,660,63.3
1780992629,33.3,669,65.2
1780992630,33.3,666,64.7
1780992631,33.3,666,65.7
1780992633,33.3,660,65.2
1780992634,20,658,63.7
1780992635,33.3,657,64.2
1780992636,20,656,63.7
1780992637,35.7,656,63.7
1780992639,60,680,64.7
1780992640,50,689,66.7
1780992641,33.3,701,65.2
1780992642,50,682,65.7
1780992643,42.9,688,64.7
1780992645,87.5,713,66.2
1780992646,50,709,64.7
1780992647,28.6,706,64.7
1780992648,41.7,696,64.7
1780992650,45.5,697,64.7
1780992651,50,690,66.7
1780992652,57.1,693,66.7
1780992653,62.5,710,66.2
1780992655,100,694,68.1
1780992656,100,724,70.1
1780992657,90.9,745,71.5
1780992658,100,759,72.5
1780992660,100,773,71.1
1780992661,100,793,70.6
1780992663,100,800,70.1
1780992664,100,810,71.5
1780992665,85.7,786,72.0
1780992666,100,736,73.0
1780992668,88.9,721,73.5
1780992669,100,727,73.0
1780992670,66.7,769,73.0
1780992671,28.6,774,71.5
1780992673,33.3,776,70.6
1780992674,33.3,777,69.1
1780992675,57.1,781,69.1
1780992676,41.7,760,70.1
1780992678,50,752,69.6
1780992679,33.3,754,69.1
1780992680,16.7,750,68.1
1780992681,71.4,750,67.6
1780992683,54.5,750,67.2
1780992684,50,747,67.2
1780992685,20,745,67.2
