Timestamp,CPU_Percent,RAM_Active_MB,Temp_C
1780986797,20,579,60.3
1780986798,20,579,60.8
1780986799,25,579,61.3
1780986800,20,578,59.9
1780986802,20,577,59.9
1780986803,27.3,577,59.9
1780986804,27.3,577,59.9
1780986805,40,573,59.4
1780986807,33.3,573,59.9
1780986808,25,576,60.8
1780986809,20,575,60.3
1780986810,33.3,575,59.9
1780986811,27.3,575,61.3
1780986813,27.3,574,60.3
1780986814,25,575,60.3
1780986815,20,584,60.3
1780986816,25,584,59.9
1780986818,33.3,583,59.9
1780986819,0,582,60.3
1780986820,30,581,60.3
1780986821,33.3,581,59.9
1780986823,33.3,580,59.9
1780986824,30.8,579,59.9
1780986825,50,574,61.3
1780986826,20,574,59.4
1780986827,40,574,60.3
1780986829,25,574,60.3
1780986830,33.3,573,61.3
1780986831,25,574,58.9
1780986832,27.3,574,60.3
1780986834,20,577,60.8
1780986835,20,577,60.8
1780986836,33.3,580,60.3
1780986837,20,581,60.3
1780986838,18.2,580,60.3
1780986840,27.3,579,61.3
1780986841,33.3,579,60.3
1780986842,25,577,59.4
1780986843,33.3,577,61.8
1780986845,20,576,60.3
1780986846,20,579,59.4
1780986847,20,577,59.9
1780986848,33.3,577,61.3
1780986850,20,577,59.9
1780986851,28.6,577,59.9
1780986852,20,576,60.3
1780986853,20,576,59.9
1780986855,27.3,575,60.3
1780986856,53.8,576,60.3
1780986857,40,575,59.9
1780986858,20,575,59.9
1780986859,20,576,60.3
1780986861,20,576,61.3
1780986862,25,575,59.9
1780986863,27.3,576,61.3
1780986864,27.3,575,60.3
1780986866,25,575,60.3
1780986867,20,574,59.4
1780986868,20,573,59.4
1780986869,33.3,573,60.3
1780986870,20,575,59.4
1780986872,27.3,574,61.3
1780986873,25,574,59.4
1780986874,27.3,574,60.3
1780986875,27.3,574,59.4
1780986877,20,569,59.9
1780986878,33.3,570,61.8
1780986879,33.3,570,59.9
1780986880,33.3,570,60.8
1780986882,20,570,60.8
1780986883,50,574,60.8
1780986884,33.3,579,60.8
1780986885,20,579,61.8
1780986886,50,588,61.3
1780986888,50,576,61.8
1780986889,25,578,62.3
1780986890,50,579,62.8
1780986891,50,583,62.8
1780986892,57.1,586,61.8
1780986894,54.5,598,62.8
1780986895,100,595,62.3
1780986896,40,596,63.3
1780986898,66.7,666,64.2
1780986899,66.7,685,65.7
1780986900,58.3,689,64.7
1780986901,66.7,713,66.2
1780986903,57.1,717,65.7
1780986904,50,716,65.2
1780986905,50,716,67.2
1780986906,66.7,716,64.7
1780986908,33.3,651,65.2
1780986909,33.3,651,63.7
1780986910,50,651,65.7
1780986911,50,650,64.2
1780986912,83.3,648,64.2
1780986915,30,645,64.2
1780986916,30.8,643,63.7
1780986917,33.3,640,62.8
1780986918,50,656,64.2
1780986920,40,667,64.2
1780986921,71.4,667,63.7
1780986922,33.3,666,64.2
1780986923,20,665,63.7
1780986924,33.3,661,62.8
1780986926,20,660,63.3
1780986927,50,674,63.7
1780986928,50,696,64.2
1780986929,42.9,693,64.7
1780986930,16.7,691,64.2
1780986932,100,699,63.7
1780986933,50,704,65.2
1780986934,50,733,64.7
1780986935,57.1,753,65.2
1780986937,50,754,67.2
1780986938,77.8,750,66.2
1780986939,60,771,66.2
1780986940,71.4,772,69.1
1780986941,66.7,757,68.1
1780986943,42.9,723,68.1
1780986944,83.3,689,68.1
1780986945,50,698,68.6
1780986946,66.7,712,68.1
1780986948,88.9,737,71.1
1780986949,60,743,70.1
1780986950,71.4,744,68.6
1780986951,66.7,748,70.1
1780986953,71.4,744,68.1
1780986954,60,745,68.1
1780986955,100,761,68.1
1780986956,100,758,66.7
1780986957,85.7,762,68.1
1780986959,60,765,67.2
1780986960,40,748,66.7
1780986961,40,751,66.2
1780986962,76.9,740,66.2
1780986964,33.3,732,65.7
1780986965,100,734,67.6
1780986966,88.9,742,67.2
1780986967,37.5,746,67.2
1780986968,72.7,752,68.1
1780986970,20,754,66.7
1780986971,20,754,66.2
1780986972,33.3,750,66.2
1780986973,33.3,743,67.2
1780986975,45.5,737,65.7
