Timestamp,CPU_Percent,RAM_Active_MB,Temp_C
1780991265,42.9,480,58.9
1780991266,20,480,57.9
1780991268,33.3,479,57.9
1780991269,20,478,56.9
1780991270,28.6,474,58.4
1780991271,33.3,474,57.9
1780991272,33.3,477,58.9
1780991274,20,479,57.9
1780991275,33.3,481,58.9
1780991276,23.1,480,58.4
1780991277,26.7,479,57.4
1780991279,25,478,57.9
1780991280,23.1,478,56.9
1780991281,20,477,57.4
1780991282,33.3,477,58.4
1780991283,20,477,57.4
1780991285,50,475,58.4
1780991286,27.3,477,57.9
1780991287,23.1,476,57.9
1780991288,23.1,476,58.4
1780991290,28.6,477,58.4
1780991291,25,480,57.9
1780991292,0,480,58.4
1780991293,33.3,481,58.4
1780991295,42.9,480,58.9
1780991296,23.1,480,58.4
1780991297,23.1,480,57.9
1780991298,20,480,58.4
1780991299,20,479,57.9
1780991301,50,479,57.9
1780991302,20,480,57.9
1780991303,23.1,479,57.9
1780991304,28.6,480,57.9
1780991306,23.1,480,58.9
1780991307,27.3,479,57.4
1780991308,26.7,479,58.9
1780991309,23.1,479,57.4
1780991311,23.1,478,57.4
1780991312,0,477,58.4
1780991313,20,478,57.4
1780991314,50,478,57.4
1780991316,20,478,57.4
1780991317,28.6,478,57.9
1780991318,23.1,478,57.4
1780991319,20,478,58.4
1780991320,20,478,57.4
1780991322,0,483,58.4
1780991323,33.3,483,58.4
1780991324,20,484,58.4
1780991325,23.1,485,58.9
1780991327,26.7,484,57.9
1780991328,20,484,58.4
1780991329,33.3,484,57.9
1780991330,33.3,482,58.4
1780991331,50,479,58.4
1780991333,28.6,479,56.9
1780991334,26.7,479,57.4
1780991335,23.1,479,57.4
1780991336,26.7,478,57.9
1780991338,28.6,478,57.4
1780991339,28.6,476,56.9
1780991340,26.7,478,57.4
1780991342,23.1,484,58.9
1780991343,25,484,57.4
1780991344,33.3,484,57.9
1780991345,20,483,57.9
1780991346,40,482,57.9
1780991348,44.4,485,57.9
1780991349,20,491,58.9
1780991350,50,493,59.9
1780991351,33.3,497,59.4
1780991352,57.1,490,60.8
1780991354,60,492,59.9
1780991355,45.5,490,59.4
1780991356,41.7,489,59.9
1780991357,40,491,61.3
1780991359,83.3,500,60.8
1780991360,20,527,62.3
1780991361,54.5,633,62.8
1780991362,77.8,629,63.7
1780991364,62.5,625,62.8
1780991365,40,630,65.2
1780991366,57.1,630,64.7
1780991367,50,631,63.3
1780991368,40,552,64.7
1780991370,33.3,553,63.7
1780991371,60,553,62.8
1780991375,80,540,60.8
1780991380,26.7,534,60.3
1780991382,33.3,532,60.3
1780991383,33.3,556,61.3
1780991384,25,563,61.3
1780991385,50,572,61.3
1780991386,100,573,61.8
1780991388,20,570,61.8
1780991389,20,567,61.3
1780991390,20,564,60.3
1780991391,20,563,60.8
1780991393,21.4,560,61.3
1780991394,20,566,59.9
1780991395,33.3,565,60.8
1780991396,20,564,61.8
1780991397,20,561,60.8
1780991399,30.8,557,60.8
1780991400,26.7,555,60.3
1780991401,20,557,60.3
1780991402,33.3,557,60.3
1780991403,33.3,560,60.3
1780991405,20,559,60.3
1780991406,100,564,61.3
1780991407,20,566,60.8
1780991408,20,566,60.8
1780991410,33.3,566,61.3
1780991411,46.2,556,61.8
1780991412,20,570,61.3
1780991413,33.3,572,61.8
1780991414,33.3,565,61.8
1780991416,33.3,564,61.3
1780991417,45.5,565,61.8
1780991418,50,571,62.8
1780991419,33.3,585,62.8
1780991420,20,583,61.8
1780991422,20,581,63.3
1780991423,21.4,578,61.3
1780991424,33.3,567,61.8
1780991425,20,568,62.3
1780991427,20,568,61.3
1780991428,20,570,61.3
1780991429,36.4,571,60.8
1780991430,23.1,571,60.8
1780991432,23.1,571,60.8
1780991433,23.1,573,61.3
1780991434,35.7,576,61.8
1780991435,20,577,60.8
1780991436,50,575,60.3
1780991438,20,574,61.8
1780991439,33.3,575,60.8
1780991440,21.4,574,60.3
1780991441,26.7,574,61.3
1780991443,86.7,573,60.8
1780991444,26.7,572,60.3
1780991445,20,573,59.9
1780991446,20,576,61.3
1780991448,20,592,60.8
1780991449,20,595,63.3
1780991450,26.7,595,60.8
1780991451,50,598,62.3
1780991453,20,599,62.3
1780991454,20,597,61.8
1780991455,28.6,603,61.8
1780991456,25,603,61.8
1780991457,26.7,603,62.3
1780991459,33.3,600,61.8
1780991460,20,601,61.3
1780991461,33.3,599,60.8
1780991462,60,598,62.3
1780991463,28.6,598,60.8
1780991465,20,602,61.3
1780991466,20,605,61.3
1780991467,20,605,61.3
1780991468,20,605,61.8
1780991470,33.3,603,61.3
1780991471,31.2,601,60.8
1780991472,33.3,599,62.3
1780991473,33.3,599,61.8
1780991474,20,598,62.3
1780991476,33.3,602,62.3
1780991477,28.6,603,60.8
1780991478,25,602,61.8
1780991479,53.3,603,61.3
1780991481,50,605,61.3
1780991482,50,640,63.3
1780991483,50,664,64.2
1780991484,50,653,63.7
1780991485,77.8,653,64.2
1780991487,57.1,670,65.2
1780991488,50,665,65.2
1780991489,20,630,64.7
