Timestamp,CPU_Percent,RAM_Active_MB,Temp_C
1780990721,30,481,56.9
1780990723,20,481,56.0
1780990724,0,481,55.5
1780990725,33.3,480,55.5
1780990726,20,480,56.9
1780990728,33.3,476,56.9
1780990729,20,476,56.0
1780990730,20,477,56.0
1780990731,20,477,57.4
1780990732,28.6,477,56.0
1780990734,26.7,475,57.4
1780990735,23.1,475,56.4
1780990736,28.6,477,56.4
1780990737,20,473,56.9
1780990739,20,475,56.4
1780990740,33.3,481,57.4
1780990741,20,480,56.4
1780990742,23.1,480,56.9
1780990743,33.3,479,56.4
1780990745,20,479,56.9
1780990746,20,479,56.4
1780990747,50,482,56.9
1780990748,23.1,483,55.5
1780990750,23.1,482,56.9
1780990751,23.1,482,56.4
1780990752,23.1,481,56.4
1780990753,23.1,481,56.0
1780990755,25,480,56.0
1780990756,28.6,480,55.0
1780990757,23.1,482,55.5
1780990758,33.3,477,56.4
1780990760,33.3,478,56.4
1780990761,0,478,56.0
1780990762,0,478,55.5
1780990763,28.6,478,56.0
1780990765,28.6,477,56.4
1780990766,27.3,477,56.9
1780990767,23.1,476,56.0
1780990768,20,476,55.5
1780990769,25,477,57.4
1780990771,40,477,56.4
1780990772,25,477,57.4
1780990773,23.1,478,55.5
1780990774,20,478,56.4
1780990776,20,479,56.0
1780990777,40,478,56.4
1780990778,42.9,474,56.9
1780990779,28.6,475,56.0
1780990780,27.3,475,56.0
1780990782,28.6,475,55.0
1780990783,28.6,475,56.9
1780990784,28.6,475,55.0
1780990786,25,475,56.4
1780990787,28.6,475,56.9
1780990788,16.7,476,56.4
1780990789,33.3,477,56.4
1780990790,20,477,56.9
1780990792,20,477,56.4
1780990793,20,477,56.9
1780990794,30.8,477,56.4
1780990795,25,484,56.9
1780990797,20,484,56.0
1780990798,40,483,56.0
1780990799,42.9,485,57.4
1780990800,20,495,57.9
1780990801,20,493,58.4
1780990803,33.3,492,58.4
1780990804,40,491,57.4
1780990805,30,488,57.9
1780990806,30,485,58.9
1780990807,40,484,57.9
1780990809,70,496,57.9
1780990810,50,501,59.9
1780990811,33.3,506,61.8
1780990812,77.8,515,59.9
1780990814,55.6,621,61.8
1780990815,66.7,609,61.8
1780990816,50,615,62.3
1780990817,50,614,63.3
1780990818,50,614,60.3
1780990820,40,625,62.3
1780990821,50,550,62.8
1780990822,27.3,550,61.8
1780990823,50,552,61.3
1780990825,40,552,60.3
1780990826,33.3,550,59.9
1780990827,28.6,548,59.9
1780990828,46.7,547,60.3
1780990831,83.3,533,59.9
1780990835,25,529,59.4
1780990836,25,527,59.4
1780990838,30.8,526,58.4
1780990839,33.3,572,59.4
1780990840,33.3,569,59.4
1780990841,33.3,570,60.8
1780990843,20,568,60.8
1780990844,20,565,59.9
1780990845,33.3,558,59.4
1780990846,80,558,59.4
1780990847,60,575,59.9
1780990849,28.6,580,59.9
1780990850,20,580,60.3
1780990851,66.7,596,61.8
1780990852,40,591,62.3
1780990854,60,624,62.8
1780990855,57.1,639,63.3
1780990856,40,646,62.8
1780990857,87.5,658,64.2
1780990858,80,656,63.7
1780990860,60,652,62.8
1780990861,66.7,641,63.3
1780990862,71.4,609,63.3
1780990864,40,602,63.3
1780990865,83.3,625,63.3
1780990866,33.3,620,63.3
1780990868,57.1,616,63.3
1780990869,50,620,64.7
1780990870,71.4,626,65.2
1780990871,33.3,621,64.7
1780990873,40,621,63.3
1780990874,71.4,616,64.2
1780990875,66.7,622,65.2
1780990876,88.9,630,65.7
1780990877,50,658,65.2
1780990879,33.3,660,64.7
1780990880,33.3,660,63.3
1780990881,16.7,668,64.2
1780990882,20,666,61.8
1780990883,16.7,666,62.8
1780990885,50,666,62.8
1780990886,16.7,665,62.3
1780990887,33.3,664,61.8
1780990888,20,661,62.8
1780990889,33.3,654,61.3
1780990891,53.3,649,60.8
1780990892,20,649,61.3
1780990893,20,648,61.3
1780990894,20,647,61.3
1780990896,50,644,61.3
1780990897,30.8,642,61.3
1780990898,31.2,641,62.3
1780990899,20,642,62.3
1780990900,40,639,60.8
1780990902,20,643,61.3
1780990903,16.7,645,61.3
1780990904,21.4,644,60.8
1780990905,20,643,61.3
1780990907,28.6,642,61.3
1780990908,28.6,641,60.8
1780990909,0,640,60.8
1780990910,33.3,640,60.8
1780990911,0,641,61.8
1780990913,16.7,643,61.3
1780990914,50,644,59.4
1780990915,16.7,644,60.8
1780990916,26.7,641,60.3
1780990918,20,641,59.9
1780990919,26.7,641,61.3
1780990920,20,641,60.3
1780990921,33.3,644,61.3
1780990922,57.1,643,60.8
1780990924,42.9,645,60.8
1780990925,25,645,60.3
1780990926,21.4,644,60.3
1780990927,0,643,61.3
1780990929,20,642,60.8
1780990930,33.3,642,61.3
1780990931,20,641,60.3
1780990932,16.7,637,61.3
1780990933,20,637,61.3
1780990935,16.7,639,60.3
1780990936,20,638,60.3
1780990937,31.2,640,61.3
1780990938,20,641,61.3
1780990939,33.3,640,59.9
1780990941,33.3,639,61.8
1780990942,33.3,640,61.3
1780990943,23.1,640,59.9
1780990944,26.7,641,60.3
1780990946,33.3,641,60.8
1780990947,33.3,641,60.3
1780990948,42.9,640,60.8
1780990949,42.9,641,59.9
1780990950,26.7,641,59.4
1780990952,33.3,640,60.3
1780990953,16.7,643,60.3
1780990954,20,643,60.3
1780990955,33.3,642,60.3
1780990956,28.6,642,59.4
1780990958,25,642,60.8
1780990959,20,642,60.8
1780990960,20,641,60.8
1780990961,20,641,60.3
1780990963,0,645,60.3
1780990964,30.8,645,59.9
1780990965,28.6,645,60.8
1780990966,20,645,60.8
1780990967,33.3,645,60.8
1780990969,20,643,59.4
1780990970,30.8,643,60.3
1780990971,26.7,643,59.9
1780990972,29.4,641,60.8
1780990974,28.6,644,59.9
1780990975,16.7,645,59.9
1780990976,20,644,59.9
1780990977,20,645,60.3
1780990978,23.1,644,59.9
1780990980,25,643,59.9
1780990981,33.3,642,59.9
1780990982,33.3,641,60.8
1780990983,28.6,638,60.8
1780990985,33.3,638,60.3
1780990986,28.6,638,60.3
1780990987,23.5,637,60.8
1780990988,20,638,60.8
1780990990,57.1,625,62.3
1780990991,33.3,621,61.3
1780990992,20,620,62.8
1780990993,63.6,611,62.3
1780990994,33.3,612,61.3
1780990996,20,611,61.3
1780990997,33.3,611,61.8
1780990998,33.3,610,61.3
1780990999,28.6,610,61.3
1780991000,16.7,609,60.3
1780991002,20,607,61.3
1780991003,16.7,607,60.8
1780991004,33.3,609,61.3
1780991005,26.7,610,60.8
1780991007,33.3,609,61.3
1780991008,20,609,60.3
1780991009,33.3,609,60.8
1780991010,20,608,60.8
1780991011,18.2,608,59.9
1780991013,26.7,606,60.8
1780991014,33.3,606,60.3
1780991015,33.3,608,60.8
1780991016,33.3,608,60.8
1780991017,33.3,608,60.3
1780991019,31.2,608,60.3
1780991020,25,608,60.8
1780991021,18.2,608,60.3
1780991022,16.7,608,59.4
1780991024,28.6,607,59.9
1780991025,20,606,59.9
1780991026,33.3,607,61.8
