Timestamp,CPU_Percent,RAM_Active_MB,Temp_C
1780990721,50,524,60.3
1780990722,20,523,60.8
1780990723,25,522,59.4
1780990724,20,521,59.9
1780990726,23.1,520,60.3
1780990727,23.1,521,60.3
1780990728,33.3,521,59.9
1780990729,20,520,60.3
1780990730,33.3,512,60.3
1780990732,20,512,60.3
1780990733,23.1,512,60.3
1780990734,23.1,512,60.3
1780990735,23.1,511,59.9
1780990737,28.6,511,59.9
1780990738,20,511,60.3
1780990739,20,511,60.8
1780990740,33.3,521,60.8
1780990742,20,521,60.8
1780990743,25,520,60.3
1780990744,20,520,60.3
1780990745,20,520,58.9
1780990746,25,519,60.3
1780990748,23.1,518,59.9
1780990749,21.4,517,59.9
1780990750,0,533,60.3
1780990751,20,524,60.3
1780990753,20,526,60.8
1780990754,50,527,60.3
1780990755,33.3,528,60.3
1780990756,33.3,527,60.3
1780990757,40,526,61.8
1780990759,42.9,531,61.3
1780990760,54.5,530,61.3
1780990761,40,523,60.8
1780990762,40,526,61.3
1780990764,40,528,62.3
1780990765,50,532,63.7
1780990766,50,533,64.2
1780990767,55.6,648,64.2
1780990768,55.6,625,66.2
1780990770,58.3,633,66.2
1780990771,70,640,65.7
1780990772,50,648,65.7
1780990773,50,651,65.7
1780990775,50,651,66.7
1780990776,42.9,572,65.2
1780990777,57.1,676,66.2
1780990778,33.3,676,63.7
1780990779,42.9,676,64.7
1780990781,75,676,63.3
1780990784,50,678,65.7
1780990785,100,726,67.2
1780990786,100,698,67.2
1780990787,100,759,68.1
1780990788,33.3,757,66.2
1780990790,57.1,759,67.2
1780990791,42.9,762,65.7
1780990792,16.7,771,64.2
1780990793,94.4,787,67.6
1780990795,57.1,787,66.7
1780990796,75,789,66.7
1780990797,57.1,789,67.2
1780990798,50,818,69.1
1780990799,20,827,67.6
1780990801,42.9,851,67.6
1780990802,100,879,67.2
1780990803,20,884,67.2
1780990804,71.4,917,68.1
1780990806,33.3,921,66.7
1780990807,20,921,66.7
1780990808,20,920,65.2
1780990809,36.4,917,65.2
1780990811,33.3,930,66.2
1780990812,20,927,65.2
1780990813,33.3,930,65.7
1780990814,20,928,65.7
1780990815,91.7,937,66.2
1780990817,90,949,66.7
1780990818,40,1024,67.2
1780990819,62.5,1014,68.6
1780990820,83.3,1009,67.2
1780990822,66.7,1055,69.1
1780990823,100,1046,69.1
1780990824,85.7,1052,70.6
1780990826,100,1104,71.5
1780990827,100,1096,72.0
1780990828,90.9,1099,72.0
1780990829,100,1132,73.5
1780990831,92.3,1128,73.5
1780990832,100,1150,72.5
1780990834,100,1172,73.0
1780990836,85.7,1168,72.5
1780990837,100,1245,72.5
1780990839,75,1215,71.5
1780990840,90,1182,71.5
1780990841,50,1126,72.0
1780990843,83.3,1137,73.0
1780990844,100,1143,75.0
1780990845,50,1141,75.4
1780990846,100,1147,75.0
1780990848,100,1171,76.4
