Timestamp,CPU_Percent,RAM_Active_MB,Temp_C
1780991264,40,519,62.3
1780991266,20,520,62.8
1780991267,33.3,520,62.3
1780991268,33.3,521,63.3
1780991269,0,520,62.8
1780991270,20,520,62.8
1780991272,20,518,63.7
1780991273,20,517,62.8
1780991274,23.1,516,62.3
1780991275,20,516,62.8
1780991277,20,515,63.3
1780991278,20,515,62.8
1780991279,20,515,62.8
1780991280,28.6,516,62.8
1780991281,28.6,516,63.3
1780991283,33.3,516,62.3
1780991284,20,521,63.3
1780991285,20,521,63.7
1780991286,20,521,64.7
1780991287,25,521,63.3
1780991289,23.1,520,62.3
1780991290,27.3,521,62.8
1780991291,28.6,521,62.8
1780991293,23.1,521,62.8
1780991294,25,524,62.3
1780991295,33.3,518,62.8
1780991296,20,519,63.3
1780991297,33.3,520,62.8
1780991299,20,522,62.8
1780991300,20,522,62.8
1780991301,20,523,63.3
1780991302,20,522,62.8
1780991303,33.3,522,62.8
1780991305,26.7,527,63.3
1780991306,20,527,61.8
1780991307,33.3,528,62.8
1780991308,33.3,528,63.3
1780991310,20,529,63.3
1780991311,50,529,63.7
1780991312,40,532,63.7
1780991313,50,526,65.7
1780991314,71.4,533,64.7
1780991316,40,534,65.2
1780991317,57.1,535,66.7
1780991318,50,539,66.2
1780991319,50,540,67.2
1780991320,50,657,67.6
1780991322,60,631,67.2
1780991323,53.8,658,67.2
1780991324,57.1,648,69.1
1780991325,57.1,657,68.6
1780991327,60,657,69.1
1780991328,60,657,69.1
1780991329,57.1,598,69.1
1780991330,83.3,598,67.2
1780991331,54.5,589,66.2
1780991333,75,585,66.2
1780991334,50,584,66.7
1780991335,66.7,683,68.1
1780991336,50,683,67.2
1780991338,88.9,702,69.1
1780991339,57.1,717,69.6
1780991340,40,748,70.1
1780991341,77.8,764,70.6
1780991343,20,763,68.6
1780991344,33.3,766,68.6
1780991345,42.9,768,69.1
1780991346,100,783,71.5
1780991347,42.9,784,70.1
1780991349,50,784,67.6
1780991350,66.7,785,69.6
1780991351,62.5,787,71.1
1780991352,33.3,834,69.6
1780991354,100,840,70.1
1780991355,100,860,71.5
1780991356,33.3,883,70.1
1780991357,20,887,69.1
1780991358,20,888,68.6
1780991360,33.3,885,68.6
1780991361,30.8,884,68.6
1780991362,36.4,884,67.2
1780991363,33.3,883,67.6
1780991365,20,907,68.1
1780991366,57.1,904,68.1
1780991367,20,931,68.6
1780991368,33.3,931,69.1
1780991369,57.1,1081,68.6
1780991371,50,1082,69.6
1780991372,71.4,1076,70.1
1780991373,80,1061,70.6
1780991374,62.5,1058,70.6
1780991376,60,1056,71.1
1780991377,62.5,1055,71.1
1780991378,100,1063,71.1
1780991379,66.7,1069,74.0
1780991381,90,1077,75.4
1780991382,92.9,1105,76.4
1780991383,100,1195,77.4
1780991384,80,1185,77.4
1780991386,100,1177,76.4
1780991387,50,1180,75.4
1780991388,50,1181,73.5
1780991389,100,1182,73.5
1780991391,87.5,1223,73.5
1780991392,100,1239,74.5
1780991393,85.7,1267,74.5
1780991394,100,1339,76.4
1780991396,100,1293,77.4
1780991397,71.4,1266,78.8
1780991399,71.4,1145,78.4
1780991400,71.4,1126,75.0
1780991401,71.4,1090,75.4
1780991403,87.5,1069,75.9
1780991404,57.1,1070,76.9
1780991405,87.5,1092,75.9
1780991406,80,1086,77.4
1780991407,100,1100,77.9
1780991409,85.7,1098,76.9
1780991410,57.1,1092,75.9
1780991411,100,1094,76.4
1780991412,90,1086,76.9
1780991414,71.4,1096,75.9
1780991415,57.1,1112,76.9
1780991416,33.3,1112,74.5
1780991417,33.3,1115,74.5
1780991419,20,1115,74.0
1780991420,50,1115,73.5
1780991421,42.9,1114,72.0
1780991422,33.3,1113,72.5
1780991423,33.3,1112,72.5
1780991425,20,1107,72.5
1780991426,28.6,1102,71.1
1780991427,16.7,1100,71.1
1780991428,33.3,1095,71.5
1780991429,16.7,1093,71.1
1780991431,16.7,1092,71.1
1780991432,33.3,1091,70.6
1780991433,30.8,1090,71.1
1780991434,18.2,1090,70.6
1780991436,16.7,1091,70.1
1780991437,20,1088,70.6
1780991438,20,1085,70.6
1780991439,16.7,1085,70.6
1780991441,30.8,1086,69.6
1780991442,33.3,1087,69.1
1780991443,33.3,1084,71.1
1780991444,33.3,1086,71.1
1780991445,50,1087,70.6
1780991447,42.9,1088,72.5
1780991448,40,1088,70.6
1780991449,33.3,1089,71.5
